,model,price,specs,processor,core,ram,storage,graphics,display,os
0,Lenovo IdeaPad Flex 5 14IRU8 82Y00051IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹32,990",64,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR4X RAM,512 GB SSD,Intel Integrated Iris Xe,"14 inches, 1920 x 1200 pixels, Touch Screen",Windows 11 OS
1,HP Victus 15-fb0147AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹55,999",72,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB AMD Radeon RX 6500M,"15.6 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS
2,HP 15s-fq5007TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹37,990",60,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
3,Lenovo Yoga Slim 6 14IAP8 82WU0095IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹59,990",,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16 GB LPDDR5 RAM,512 GB SSD,Intel Integrated Iris Xe,"14 inches, 2240 x 1400 pixels",Windows 11 OS
4,Acer Aspire Lite AL15-51 2023 Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹38,990",64,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
5,Acer One 14 Z8-415 Laptop (11th Gen Core i3 / 8GB/ 512GB SSD/ Win11 Home),"₹28,990",,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,‎Intel Iris Xe Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS
6,Wings Nuvobook V1 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹29,990",,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Graphics,"15.6 inches, 1080 x 1920 pixels",Windows 11 OS
7,Zebronics ZEB-NBC 4S Laptop (12th Gen Core i5 / 16GB/ 512GB SSD/ Win11 Home),"₹39,990",69,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Integrated,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
8,Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB/ MacOS),"₹69,990",,Apple M1,Octa Core (4P + 4E),8 GB DDR4 RAM,256 GB SSD,Apple M1 Integrated Graphics,"13.3 inches, 2560 x 1600 pixels",Mac OS
9,Acer Aspire Lite AL15-51 Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11),"₹35,990",62,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
10,Lenovo IdeaPad Gaming 3 15IHU6 82K101GSIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹44,990",71,11th Gen Intel Core i5 11300H,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
11,Acer Aspire 7 A715-76G UN.QMESI.004 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹53,990",69,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
12,Asus TUF Gaming F15 FX506HC-HN362WS Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹63,990",72,11th Gen Intel Core i5 11400H ,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
13,Asus Vivobook 15 X1502ZA-EJ741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹59,990",67,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
14,HP Victus 15-fa0555TX  Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹72,990",71,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
15,Acer Aspire 7 A715-76G UN.QMYSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹55,990",72,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
